profile,session,seed,daysPlayed,gameOver,finalGold,finalDebt,finalReputationRank,finalReputationPoints,reputationEarned,trustStreak,totalIncome,totalUpkeep,totalLevelUpSpend,totalHiringSpend,totalSurplus,totalXpGranted,levelUpsBought,ordersGenerated,ordersSent,ordersCompleted,cleanSuccesses,messySuccesses,ordersFailed,ordersReferred,ordersDeclined,wounds,deaths,huntersHired,huntersDismissed,endingHunters,averageEndingHunterLevel,averageSuccessChance,averagePartySize,averagePartyPower,averageRequiredPower,averageKnownTraitRatio,averageCaseQuality
Middle-ground,2345,22345,10,False,586,0,4,2492.5,2742.5,0,2846,811,1539,10,486,5806,18,50,32,28,5,22,4,1,17,21,1,4,0,3,7,113.714,2.281,49.516,48.75,0.52,0.345
Middle-ground,2346,22346,10,False,2024,0,4,3202.5,3202.5,1,4477,1014,1539,0,1924,6462,18,69,34,29,7,22,5,1,34,20,0,3,0,3,7,100.652,2.588,57.382,72.941,0.406,0.382
Middle-ground,2347,22347,10,False,3139,0,4,5450,5450,1,6096,1000,2027,30,3039,9081,22,68,45,41,13,25,4,0,23,15,3,6,0,3,6,120.226,2.533,55.922,57.333,0.529,0.356
Middle-ground,2348,22348,10,False,1040,0,4,2542.5,2542.5,0,3022,916,1136,30,940,4276,16,74,27,25,4,18,2,1,46,12,3,6,0,3,5.333,106.913,2.556,54.407,57.778,0.595,0.351
Middle-ground,2349,22349,10,False,1742,0,4,4537.5,4537.5,0,5185,993,2540,10,1642,12149,25,64,35,34,4,29,1,1,28,10,1,4,0,3,6.667,110.287,2.543,58.157,60.286,0.5,0.313
Middle-ground,2350,22350,10,False,2420,0,4,3687.5,3687.5,0,5047,969,1748,10,2320,6617,20,66,34,31,7,22,3,4,28,15,2,4,0,2,5.5,116.045,2.559,65.088,68.529,0.455,0.379
Middle-ground,2351,22351,10,False,953,0,4,2750,2750,0,3890,961,2066,10,853,7917,23,68,34,29,4,24,5,1,33,17,1,4,0,3,7,102.644,2.206,49.809,62.941,0.471,0.337
Middle-ground,2352,22352,10,False,2284,0,4,4350,4350,0,5127,963,1980,0,2184,7867,21,72,37,34,6,27,3,0,35,8,1,3,0,2,8,122.065,2.595,62.027,62.162,0.486,0.322
Middle-ground,2353,22353,10,False,1052,0,4,2117.5,2117.5,1,2808,840,996,20,952,4738,14,73,33,28,4,23,5,1,39,17,2,5,0,3,5.333,120.065,2.364,46.439,52.727,0.534,0.432
Middle-ground,2354,22354,10,False,1033,0,4,2940,2940,0,3779,894,1942,10,933,7203,22,70,34,30,6,23,4,1,35,12,1,4,0,3,6.333,109.167,2.382,53.412,60.588,0.543,0.407
Traiter,2345,32345,10,False,941,0,4,4772.5,4772.5,5,3929,927,2151,10,841,9480,22,53,29,28,5,22,1,6,18,21,1,4,0,3,8.333,109.094,2.448,60.828,58.621,1,0.677
Traiter,2346,32346,10,False,1132,0,4,3605,3755,3,3816,951,1833,0,1032,7290,20,65,36,34,6,28,2,4,25,13,0,3,0,3,7.667,116.885,2.306,52.444,48.889,1,0.691
Traiter,2347,32347,10,False,1472,0,4,3840,3840,2,4087,908,1787,20,1372,8334,21,58,34,34,7,25,0,5,19,16,2,5,0,3,7,122.718,2.5,59.588,51.471,1,0.738
Traiter,2348,32348,10,False,1684,0,4,2722.5,2722.5,0,3525,878,1043,20,1584,4216,15,70,35,33,5,26,2,5,30,20,2,5,0,3,5.333,111.487,2.086,44.129,46.286,1,0.744
Traiter,2349,32349,10,False,1740,0,4,3605,3605,2,4244,932,1662,10,1640,7515,19,75,30,29,4,24,1,7,38,20,1,4,0,3,7,110.941,2.4,58.717,56.667,1,0.733
Traiter,2350,32350,10,False,1761,0,4,3547.5,3547.5,0,4010,852,1477,20,1661,5693,19,71,34,32,6,23,2,5,32,10,3,5,0,2,6.5,115.628,2.529,55.485,53.235,1,0.735
Traiter,2351,32351,10,False,2625,0,4,5160,5160,3,5504,999,1980,0,2525,7977,21,67,35,34,9,25,1,3,29,11,0,3,0,3,8,115.211,2.629,64.914,59.429,1,0.752
Traiter,2352,32352,10,False,1135,0,4,3107.5,3307.5,0,3429,956,1438,0,1035,7521,17,49,31,28,5,23,3,4,14,19,0,3,0,3,6.667,120.263,2.548,57.419,51.29,1,0.754
Traiter,2353,32353,10,False,2151,0,4,4337.5,4337.5,1,4527,937,1539,0,2051,6414,18,68,35,33,5,28,2,5,28,17,0,3,0,3,7,105.064,2.229,54.171,52.286,1,0.704
Traiter,2354,32354,10,False,2727,0,4,6525,6525,5,6049,1028,2384,10,2627,11053,24,62,39,38,9,28,1,4,19,17,1,4,0,3,8.667,114.895,2.513,64.987,60.256,1,0.764
Lazy,2345,42345,10,False,3404,0,4,3165,3165,0,4237,923,0,10,3304,5908,0,54,38,31,3,27,7,0,16,16,1,4,0,3,1.333,81.905,2.474,34.737,61.842,0.481,0.135
Lazy,2346,42346,10,False,1613,0,3,1722.5,1772.5,0,2483,960,0,10,1513,3539,0,53,26,20,1,18,6,0,27,21,1,4,0,3,1,71.552,2.462,33.173,55.385,0.528,0.148
Lazy,2347,42347,10,False,2006,0,3,1607.5,1607.5,1,2833,917,0,10,1906,4016,0,54,35,21,2,18,14,0,19,22,1,4,0,3,1,72.541,2.314,34.714,50.857,0.519,0.152
Lazy,2348,42348,10,False,3521,0,4,2990,2990,0,4286,845,0,20,3421,6269,0,73,33,28,3,23,5,0,40,16,2,5,0,3,1.333,73.243,2.576,35.591,66.667,0.521,0.229
Lazy,2349,42349,10,False,2520,0,4,2175,2175,0,3290,870,0,0,2420,6561,0,61,40,26,2,24,14,0,21,22,0,3,0,3,1,73.02,2.45,34.688,58.5,0.574,0.157
Lazy,2350,42350,10,False,1981,0,3,1765,1765,0,2811,900,0,30,1881,5393,0,59,31,21,1,18,10,0,28,20,3,6,0,3,1.333,77.728,2.452,34.984,53.871,0.441,0.169
Lazy,2351,42351,10,False,1237,0,3,1350,1350,0,2067,930,0,0,1137,5647,0,57,31,18,0,18,13,0,26,24,0,3,0,3,1,76.118,2.258,31.21,51.29,0.596,0.184
Lazy,2352,42352,10,False,2396,0,3,2050,2050,0,3216,900,0,20,2296,6039,0,60,39,24,1,23,15,0,21,18,2,5,0,3,1.333,79.414,2.59,37.423,59.487,0.533,0.112
Lazy,2353,42353,10,False,2487,0,4,2250,2250,0,3326,929,0,10,2387,5638,0,63,37,27,0,27,10,0,26,20,1,4,0,3,1,75.958,2.351,33.851,57.297,0.476,0.125
Lazy,2354,42354,10,False,3103,0,4,2547.5,2547.5,0,3963,930,0,30,3003,8305,0,73,38,26,3,22,12,0,35,13,3,6,0,3,1.333,81.156,2.579,34.026,56.579,0.507,0.177
