profile,session,seed,daysPlayed,gameOver,finalGold,finalDebt,finalReputationRank,finalReputationPoints,reputationEarned,trustStreak,totalIncome,totalUpkeep,totalLevelUpSpend,totalHiringSpend,totalSurplus,totalXpGranted,levelUpsBought,ordersGenerated,ordersSent,ordersCompleted,cleanSuccesses,messySuccesses,ordersFailed,ordersReferred,ordersDeclined,wounds,deaths,huntersHired,huntersDismissed,endingHunters,averageEndingHunterLevel,averageSuccessChance,averagePartyPower,averageRequiredPower,averageKnownTraitRatio,averageCaseQuality
Middle-ground,2353,22353,3,True,0,29,1,0,51.5,0,156,285,0,0,-129,234,0,24,8,5,2,3,3,0,16,2,1,3,1,1,1,56.875,12.188,22.5,0.583,0.406
Middle-ground,2354,22354,10,False,0,0,1,10,20,0,60,261,0,0,-201,49,0,19,3,2,0,1,1,0,16,1,1,3,2,0,0,55.833,12.5,20,0.421,0.411
Traiter,2345,32345,3,True,0,38,1,10,54.5,0,182,310,0,10,-138,192,0,24,7,5,3,0,2,0,17,0,2,4,0,2,1,67.143,13.929,22.857,1,0.775
Traiter,2346,32346,3,True,0,145,1,0,54.5,1,137,372,0,10,-245,157,0,22,7,5,1,4,2,0,15,5,1,4,0,3,1,72.143,15,20,1,0.705
Traiter,2347,32347,4,True,0,73,1,11.5,41.5,1,137,310,0,0,-173,159,0,29,6,4,2,1,2,0,23,2,1,3,1,1,1,71.25,15,23.333,1,0.716
Traiter,2348,32348,3,True,0,78,1,14.5,75,3,141,319,0,0,-178,174,0,24,6,6,3,3,0,0,18,2,0,3,2,1,1,83.75,13.75,20,1,0.775
Traiter,2349,32349,3,True,0,153,1,0,21.5,1,57,310,0,0,-253,70,0,24,3,2,1,1,1,0,21,2,0,3,2,1,1,75,15,20,1,0.792
Traiter,2350,32350,3,True,0,136,1,0,30,0,74,310,0,0,-236,91,0,24,3,3,0,3,0,0,21,0,0,3,2,1,1,73.333,15,20,1,0.7
Traiter,2351,32351,6,True,0,130,1,0,114.5,0,330,530,0,30,-230,306,0,48,14,11,3,6,3,0,34,2,2,6,1,3,1,69.643,14.464,22.143,1,0.764
Traiter,2352,32352,3,True,0,28,1,10,51.5,0,157,285,0,0,-128,184,0,24,8,5,2,2,3,0,16,2,1,3,1,1,1,78.125,15,21.25,1,0.735
Traiter,2353,32353,3,True,0,75,1,14.5,93.5,0,197,372,0,0,-175,294,0,19,10,8,3,5,2,0,9,4,0,3,0,3,1,68,15,20,1,0.803
Traiter,2354,32354,3,True,0,78,1,0,30,0,107,285,0,0,-178,189,0,18,6,3,0,3,3,0,12,4,1,3,1,1,1,70,15,20,1,0.692
Lazy,2345,42345,10,False,186,0,1,110,130,0,842,726,0,30,86,702,0,43,31,13,1,10,18,0,12,10,4,6,1,1,1,48.79,13.548,30.968,0.512,0.14
Lazy,2346,42346,10,False,342,0,2,200,210,1,1195,933,0,20,242,882,0,57,35,21,3,16,14,0,22,14,3,5,0,2,1.5,58.357,14.314,29.429,0.596,0.158
Lazy,2347,42347,10,False,235,0,2,150,150,0,1013,828,0,50,135,962,0,65,31,15,0,12,16,0,34,16,6,8,0,2,1,57.298,13.548,30.323,0.446,0.183
Lazy,2348,42348,10,False,234,0,2,195,195,0,983,839,0,10,134,756,0,67,26,17,2,14,9,0,41,13,1,4,0,3,1.333,49.712,13.558,30.769,0.463,0.188
Lazy,2349,42349,10,False,294,0,2,170,170,0,953,699,0,60,194,669,0,75,30,17,0,14,13,0,45,9,6,9,0,3,1.667,56.417,14.55,30.333,0.507,0.161
Lazy,2350,42350,10,False,178,0,2,180,180,0,936,818,0,40,78,868,0,53,30,17,0,15,13,0,23,18,4,7,0,3,1,59.875,14.25,31.333,0.491,0.152
Lazy,2351,42351,10,False,256,0,2,150,160,0,920,694,0,70,156,819,0,42,33,16,1,12,17,0,9,10,7,10,0,3,1.333,55.587,13.636,30.909,0.476,0.123
Lazy,2352,42352,3,True,0,18,1,30,60,0,266,384,0,0,-118,330,0,10,10,6,0,6,4,0,0,7,0,3,0,3,1,63.75,13.5,25,0.7,0.045
Lazy,2353,42353,10,False,199,0,2,181.5,181.5,0,968,829,0,40,99,865,0,68,34,18,1,13,16,0,34,11,4,7,0,3,1.333,52.684,14.515,32.059,0.515,0.126
Lazy,2354,42354,10,False,219,0,2,170,170,0,960,791,0,50,119,854,0,55,32,17,0,13,15,0,23,10,5,8,0,3,1.333,55.625,13.547,28.75,0.455,0.188
