profile,session,seed,daysPlayed,gameOver,finalGold,finalDebt,finalReputationRank,finalReputationPoints,reputationEarned,trustStreak,totalIncome,totalUpkeep,totalLevelUpSpend,totalHiringSpend,totalSurplus,totalXpGranted,levelUpsBought,ordersGenerated,ordersSent,ordersCompleted,cleanSuccesses,messySuccesses,ordersFailed,ordersReferred,ordersDeclined,wounds,deaths,huntersHired,huntersDismissed,endingHunters,averageEndingHunterLevel,averageSuccessChance,averagePartySize,averagePartyPower,averageRequiredPower,averageKnownTraitRatio,averageCaseQuality
Middle-ground,2353,22353,10,False,357,0,2,320.5,350.5,1,1817,886,654,20,257,3769,10,56,33,27,3,22,6,1,22,23,2,5,0,3,4.333,108.144,2,36.152,36.97,0.518,0.363
Middle-ground,2354,22354,10,False,940,0,2,595,595,2,2878,790,1198,50,840,4579,17,63,39,36,10,21,3,1,23,16,5,8,0,3,4.333,120.459,2.051,42,42.308,0.508,0.371
Traiter,2345,32345,10,False,410,0,2,334.5,334.5,0,1665,823,452,80,310,2814,8,65,29,26,1,19,3,2,34,17,8,11,0,3,2.333,117.997,2.172,38.655,37.241,1,0.727
Traiter,2346,32346,10,False,152,0,2,245.5,335.5,0,1203,846,265,40,52,3518,5,51,29,29,6,18,0,2,20,19,5,7,0,2,2,121.983,2.034,32.448,27.586,1,0.75
Traiter,2347,32347,10,False,215,0,2,271.5,271.5,0,1306,757,374,60,115,2741,7,58,26,24,2,17,2,8,24,19,6,9,0,3,2.333,108.968,2.038,32.519,29.615,1,0.756
Traiter,2348,32348,10,False,207,0,2,205,265,0,1285,733,375,70,107,2729,7,50,24,23,5,13,1,7,19,18,7,10,0,3,2.333,121.288,2.25,35.521,31.667,1,0.748
Traiter,2349,32349,10,False,286,0,2,221.5,221.5,0,1285,866,203,30,186,3070,4,72,25,19,1,16,6,7,40,21,3,6,0,3,2.333,100.533,2.04,33.18,35.6,1,0.742
Traiter,2350,32350,10,False,247,0,2,260,260,0,1413,812,374,80,147,1950,6,65,23,22,1,13,1,6,36,20,8,11,0,3,2.667,112.268,2.174,36.065,36.957,1,0.785
Traiter,2351,32351,10,False,918,0,2,467.5,467.5,0,2441,672,871,80,818,3204,13,51,33,31,7,17,2,7,11,17,8,11,0,3,3.667,122.823,2.121,42.848,37.879,1,0.745
Traiter,2352,32352,10,False,394,0,2,329,329,1,1849,866,639,50,294,3343,11,52,28,25,3,17,3,7,17,22,5,8,0,3,3,121.458,2.357,41.304,38.571,1,0.747
Traiter,2353,32353,10,False,542,0,2,421,421,2,2225,774,949,60,442,3718,15,61,33,30,6,19,3,5,23,15,6,9,0,3,3.333,130.798,2.333,45.561,39.697,1,0.731
Traiter,2354,32354,10,False,422,0,2,347,347,0,1679,772,515,70,322,3003,10,43,27,24,6,13,3,4,12,17,7,10,0,3,3,109.747,2.185,33.519,35.926,1,0.664
Lazy,2345,42345,10,False,1642,0,2,459,459,0,2436,814,0,80,1542,4548,0,45,38,32,2,26,6,0,7,21,8,11,0,3,2,110.572,2.342,35.684,41.316,0.533,0.149
Lazy,2346,42346,10,False,1124,0,2,332,332,0,1954,910,0,20,1024,3237,0,51,30,25,2,21,5,0,21,22,3,5,0,2,1,98.733,2.3,33.05,39.667,0.529,0.207
Lazy,2347,42347,10,False,720,0,2,274.5,294.5,0,1549,869,0,60,620,2926,0,44,30,26,3,17,4,0,14,22,6,9,0,3,1.333,112.95,2.4,34.95,35.333,0.477,0.206
Lazy,2348,42348,10,False,929,0,2,306,306,0,1737,838,0,70,829,3141,0,44,30,24,2,15,6,0,14,19,8,10,0,2,1.5,93.658,2.333,32.3,39.333,0.523,0.244
Lazy,2349,42349,10,False,681,0,2,280,280,0,1388,687,0,120,581,1956,0,40,28,25,1,15,3,0,12,15,13,15,0,2,2,86.446,1.893,28.339,37.5,0.55,0.17
Lazy,2350,42350,10,False,539,0,2,275,275,0,1361,892,0,30,439,3028,0,46,29,23,3,17,6,0,17,25,3,6,0,3,1.333,115.198,2.414,33.828,36.552,0.478,0.204
Lazy,2351,42351,10,False,947,0,2,340,340,0,1707,790,0,70,847,3749,0,51,29,27,0,22,2,0,22,21,7,10,0,3,1.667,95.629,2.138,30.776,41.034,0.569,0.184
Lazy,2352,42352,3,True,0,55,1,10,30,0,130,285,0,0,-155,467,0,5,4,3,0,2,1,0,1,6,1,3,1,1,1,113.75,2,30,30,0.8,0.17
Lazy,2353,42353,10,False,781,0,2,230,230,0,1465,704,0,80,681,2497,0,46,28,20,0,14,8,0,18,19,8,11,0,3,1.667,101.179,2.071,29.679,37.857,0.5,0.138
Lazy,2354,42354,10,False,1000,0,2,340,340,0,1832,882,0,50,900,3846,0,51,35,28,0,24,7,0,16,22,5,8,0,3,1.667,101.8,2.2,32.271,38.286,0.529,0.119
