profile,session,seed,daysPlayed,gameOver,finalGold,finalDebt,finalReputationRank,finalReputationPoints,reputationEarned,trustStreak,dayReachedRep2,dayReachedRep3,dayReachedRep4,endOfDayRepRank[],endOfDayReputationPoints[],totalIncome,totalUpkeep,totalLevelUpSpend,totalHiringSpend,totalSurplus,totalXpGranted,levelUpsBought,ordersGenerated,ordersSent,ordersCompleted,cleanSuccesses,messySuccesses,ordersFailed,ordersReferred,ordersDeclined,wounds,deaths,huntersHired,huntersDismissed,endingHunters,averageEndingHunterLevel,averageSuccessChance,averagePartySize,averagePartyPower,averageRequiredPower,averageKnownTraitRatio,averageCaseQuality
Middle-ground,2345,22345,10,False,229,0,3,1255,1320,0,2,5,0,1|2|2|2|3|3|3|3|3|3,65|130|357.5|472.5|652.5|880|1027.5|1027.5|1157.5|1255,2462,908,1415,10,129,5296,17,69,32,25,2,22,7,0,37,14,1,4,0,3,6.667,102.469,2.219,42.5,47.5,0.507,0.331
Middle-ground,2346,22346,10,False,1235,0,4,2077.125,2077.125,2,2,3,10,1|2|3|3|3|3|3|3|3|4,97.5|575|690|787.5|852.5|1000|1260|1472.5|1700|2077.125,3268,925,1198,10,1135,4317,16,68,32,28,7,21,4,1,35,16,1,4,0,3,5.667,109.599,2.375,52.063,57.5,0.5,0.396
Middle-ground,2347,22347,10,False,2345,0,4,3127.875,3127.875,1,1,3,6,2|2|3|3|3|4|4|4|4|4,187.125|437|880.5|1228|1854.25|2141.75|2291.25|2666.25|2666.25|3127.875,4712,922,1515,30,2245,6577,18,68,39,34,12,19,5,0,29,12,3,6,0,3,6,115.503,2.462,54.09,64.359,0.529,0.468
Middle-ground,2348,22348,10,False,1831,0,4,2428.625,2428.625,0,1,4,8,2|2|2|3|3|3|3|4|4|4,416.25|481.25|578.75|856.25|1116.25|1480.75|1545.75|2069.5|2331.125|2428.625,4280,984,1555,10,1731,6039,19,69,36,32,5,25,4,0,33,13,3,4,0,1,4,100.79,2.528,54.25,64.167,0.536,0.298
Middle-ground,2349,22349,10,False,1438,0,4,2507.5,2507.5,0,2,4,8,1|2|2|3|3|3|3|4|4|4,65|227.5|594.375|983.625|1021|1394.75|1828.25|2215|2280|2507.5,4265,1011,1896,20,1338,8375,22,59,37,36,4,30,1,1,21,17,2,5,0,3,5.333,117.617,2.324,55.676,52.432,0.373,0.358
Middle-ground,2350,22350,10,False,944,0,4,2062.75,2062.75,2,1,4,10,2|2|2|3|3|3|3|3|3|4,344.125|414|511.5|641.5|771.5|1081.5|1424|1589|1663.75|2062.75,3390,917,1609,20,844,6353,20,58,35,34,3,29,1,0,23,19,2,5,0,3,5.667,106.837,2.286,46.257,51.714,0.569,0.371
Middle-ground,2351,22351,10,False,1923,0,4,2822,2822,0,1,4,8,2|2|2|3|3|3|3|4|4|4,199.5|274.25|381.5|955.375|1085.375|1150.375|1445.375|2269.5|2464.5|2822,4445,916,1686,20,1823,8517,19,43,33,31,8,21,2,0,10,16,2,5,0,3,5.667,108.789,2.333,51.924,57.879,0.465,0.433
Middle-ground,2352,22352,10,False,1652,0,4,2776.25,2776.25,1,2,3,8,1|2|3|3|3|3|3|4|4|4,97.5|357.125|617.125|747.125|959.25|1296.125|1832|2067.625|2339|2776.25,4080,989,1539,0,1552,5935,18,59,39,36,6,30,3,0,20,19,0,3,0,3,7,123.016,2.385,55.744,51.282,0.475,0.314
Middle-ground,2353,22353,10,False,1433,0,4,2262.75,2262.75,2,1,4,9,2|2|2|3|3|3|3|3|4|4,261.875|326.875|479.25|756.75|919.25|1231.75|1473.875|1751.375|2136|2262.75,3613,959,1291,30,1333,5630,16,66,38,35,7,26,3,0,28,18,3,6,0,3,6.333,112.641,2.316,48.184,53.158,0.515,0.429
Middle-ground,2354,22354,10,False,1265,0,4,2857,2857,0,1,2,7,2|3|3|3|3|3|4|4|4|4,354.875|766.375|880.125|1221.375|1619.5|1903.875|2139.5|2337|2662|2857,3762,829,1748,20,1165,7128,20,64,32,31,5,24,1,0,32,12,2,5,0,3,5.667,123.17,2.5,58.688,54.375,0.516,0.364
Traiter,2345,32345,10,False,1192,0,4,3733.125,3733.125,5,2,5,9,1|2|2|2|3|3|3|3|4|4,65|130|195|347.375|798.125|939.5|1694.375|1865|2958.75|3733.125,4134,928,2104,10,1092,9933,21,51,32,31,8,22,1,2,17,17,1,4,0,3,8.333,109.472,2.438,58.109,56.25,1,0.743
Traiter,2346,32346,10,False,1322,0,4,2439,2536.5,0,2,4,9,1|2|2|3|3|3|3|3|4|4,97.5|232|306.75|628.125|855.625|1263.125|1739.75|1964|2309|2439,3713,862,1609,20,1222,6712,19,61,36,34,6,26,2,3,22,16,2,5,0,3,3.667,110.716,2.25,49.361,49.444,1,0.71
Traiter,2347,32347,10,False,1435,0,4,2321.5,2321.5,3,1,5,10,2|2|2|2|3|3|3|3|3|4,257|341.5|426|588.5|653.5|751|848.5|1226|1652|2321.5,3618,935,1338,10,1335,6553,17,49,28,28,5,22,0,4,17,20,1,4,0,3,6.333,109.404,2.357,54.946,56.786,1,0.721
Traiter,2348,32348,10,False,1510,0,4,3378.875,3378.875,5,1,5,7,2|2|2|2|3|3|4|4|4|4,140|270|385|565|859.375|1386.125|2412|2867|3151.375|3378.875,3866,984,1462,10,1410,4831,18,79,35,33,11,21,2,10,34,15,1,4,0,3,6.667,117.232,2.171,50.143,51.143,1,0.784
Traiter,2349,32349,10,False,1605,0,4,3008.125,3008.125,0,2,3,6,1|2|3|3|3|4|4|4|4|4,97.5|260|631.375|1198.25|1877|2072|2267|2678.625|2943.125|3008.125,4269,921,1833,10,1505,6451,21,61,34,32,6,24,2,6,21,22,2,4,0,2,6.5,114.047,2.324,57.176,55.294,1,0.761
Traiter,2350,32350,10,False,882,0,3,1811.25,1811.25,1,1,6,0,2|2|2|2|2|3|3|3|3|3,147.5|331.75|458.5|523.5|588.5|653.5|718.5|931|1454.75|1811.25,2523,921,810,10,782,3955,12,66,33,30,3,26,3,0,33,13,1,4,0,3,4.667,125.515,2.333,49,43.03,1,0.709
Traiter,2351,32351,10,False,1185,0,3,1954.375,1954.375,0,1,3,0,2|2|3|3|3|3|3|3|3|3,276.5|557.625|716.875|814.375|911.875|1009.375|1139.375|1319.375|1579.375|1954.375,3191,867,1229,10,1085,4527,16,68,31,31,3,26,0,5,32,14,2,4,0,2,6,120.967,2.452,56.065,48.065,1,0.682
Traiter,2352,32352,10,False,937,0,4,3599.5,3599.5,0,1,3,6,2|2|3|3|3|4|4|4|4|4,130|367.5|650.25|1365.125|1535.75|2143.875|2655.75|3469.5|3534.5|3599.5,3842,1015,1980,10,837,7471,21,54,31,31,9,21,0,4,19,13,1,4,0,3,6,111.932,2.419,59,54.516,1,0.792
Traiter,2353,32353,10,False,1667,0,4,3007.625,3007.625,0,2,4,8,1|2|2|3|3|3|3|4|4|4,65|247.25|439|1115.875|1457.125|1489.625|2041.625|2650.125|2812.625|3007.625,4075,969,1539,0,1567,6019,18,65,35,31,8,23,4,4,26,15,0,3,0,3,7,107.786,2.286,54.714,51.143,1,0.742
Traiter,2354,32354,10,False,2479,0,4,4959,4959,5,1,3,6,2|2|3|3|3|4|4|4|4|4,222.25|527|791.5|1222.125|1855.625|2323.625|3187.125|3992.125|4447.125|4959,5774,1073,2322,0,2379,10676,23,63,37,36,7,29,1,2,24,16,0,3,0,3,8.667,104.827,2.432,62.243,62.432,1,0.745
Lazy,2345,42345,10,False,2547,0,3,1684.375,1684.375,0,1,5,0,2|2|2|2|3|3|3|3|3|3,130|399.375|431.875|561.875|724.375|936.875|1131.875|1196.875|1521.875|1684.375,3429,972,0,10,2447,5183,0,71,38,32,1,30,6,0,33,19,1,4,0,3,1.333,89.245,2.474,34.421,45.526,0.394,0.161
Lazy,2346,42346,10,False,2857,0,3,1724.625,1757.125,0,2,5,0,1|2|2|2|3|3|3|3|3|3,32.5|230|374.625|439.625|634.625|959.625|1154.625|1382.125|1479.625|1724.625,3727,960,0,10,2757,5174,0,50,35,27,1,25,8,0,15,17,1,4,0,3,1.333,73.242,2.486,32.571,57.143,0.46,0.128
Lazy,2347,42347,10,False,1522,0,3,982.375,982.375,0,2,5,0,1|2|2|2|3|3|3|3|3|3,97.5|260|422.5|509.875|639.875|639.875|769.875|834.875|932.375|982.375,2383,941,0,20,1422,3832,0,69,36,21,1,20,15,0,33,20,2,5,0,3,1.667,83.505,2.333,33.708,47.222,0.435,0.175
Lazy,2348,42348,10,False,3205,0,3,1921.25,1921.25,0,1,3,0,2|2|3|3|3|3|3|3|3|3,189.75|566.375|751.25|881.25|1173.75|1238.75|1433.75|1661.25|1921.25|1921.25,3985,870,0,10,3105,6969,0,68,44,34,3,30,10,0,24,15,1,4,0,3,1,83.145,2.523,35.795,54.773,0.515,0.167
Lazy,2349,42349,10,False,2605,0,3,1766.5,1766.5,0,1,5,0,2|2|2|2|3|3|3|3|3|3,152.375|384.75|449.75|514.75|677.25|872.25|937.25|1164.75|1539|1766.5,3372,857,0,10,2505,7011,0,69,37,27,2,25,10,0,32,21,1,4,0,3,1,76.39,2.541,35.676,56.757,0.58,0.165
Lazy,2350,42350,10,False,2074,0,3,1359,1359,0,1,4,0,2|2|2|3|3|3|3|3|3|3,184.875|494.5|531.875|644|806.5|936.5|969|1196.5|1196.5|1359,2953,959,0,20,1974,6596,0,55,35,24,2,21,11,0,20,21,2,5,0,3,1.667,86.715,2.543,33.686,52,0.455,0.198
Lazy,2351,42351,10,False,2074,0,3,1202.5,1202.5,0,2,6,0,1|2|2|2|2|3|3|3|3|3,65|162.5|325|422.5|585|650|747.5|845|1007.5|1202.5,2897,913,0,10,1974,5733,0,55,35,23,0,23,12,0,20,24,1,4,0,3,1.333,82.079,2.286,34.971,51.714,0.545,0.055
Lazy,2352,42352,10,False,1646,0,3,1054.25,1054.25,0,2,4,0,1|2|2|3|3|3|3|3|3|3,65|371.75|566.75|631.75|729.25|761.75|826.75|924.25|1021.75|1054.25,2479,923,0,10,1546,6130,0,58,34,22,1,20,12,0,24,19,1,4,0,3,1,96.662,2.618,37.5,55.294,0.534,0.185
Lazy,2353,42353,10,False,3339,0,3,2030.5,2030.5,0,2,5,0,1|2|2|2|3|3|3|3|3|3,97.5|227.5|325|552.5|951.5|1250.5|1250.5|1413|1705.5|2030.5,4235,976,0,20,3239,5659,0,52,42,32,1,30,10,0,10,17,2,5,0,3,1.333,88.307,2.286,34,51.429,0.519,0.102
Lazy,2354,42354,10,False,3365,0,4,2127,2127,0,1,3,10,2|2|3|3|3|3|3|3|3|4,222.25|449.75|762|924.5|989.5|1347|1542|1769.5|2029.5|2127,4229,944,0,20,3265,7959,0,63,45,34,3,29,11,0,18,18,2,5,0,3,1.667,90.551,2.467,36.433,54.444,0.571,0.221
