profile,session,seed,daysPlayed,gameOver,finalGold,finalDebt,finalReputationRank,finalReputationPoints,reputationEarned,trustStreak,totalIncome,totalUpkeep,totalLevelUpSpend,totalHiringSpend,totalSurplus,totalXpGranted,levelUpsBought,ordersGenerated,ordersSent,ordersCompleted,cleanSuccesses,messySuccesses,ordersFailed,ordersReferred,ordersDeclined,wounds,deaths,huntersHired,huntersDismissed,endingHunters,averageEndingHunterLevel,averageSuccessChance,averagePartyPower,averageRequiredPower,averageKnownTraitRatio,averageCaseQuality
Middle-ground,2345,22345,10,False,805,0,2,191.5,191.5,0,1677,679,203,90,705,929,4,43,41,18,2,11,23,2,0,12,10,12,0,2,2,51.271,15.11,40,0.488,0.36
Middle-ground,2346,22346,10,False,686,0,2,221.5,221.5,0,1637,674,297,80,586,992,6,37,36,20,3,11,16,1,0,10,9,11,0,2,1.5,49.917,16.181,40.556,0.622,0.386
Middle-ground,2347,22347,10,False,799,0,2,290.5,310.5,0,1867,714,374,80,699,1311,7,41,41,25,4,18,16,0,0,14,8,11,0,3,2,50.726,15.39,37.805,0.561,0.42
Middle-ground,2348,22348,10,False,998,0,2,372.5,372.5,0,2583,892,763,30,898,2160,11,48,46,29,8,19,17,2,0,15,3,6,0,3,4,56.79,20.587,46.957,0.542,0.402
Middle-ground,2349,22349,10,False,356,0,2,181.5,181.5,0,1227,688,203,80,256,928,4,37,37,17,2,9,20,0,0,12,8,11,0,3,1.667,55.655,14.216,33.784,0.432,0.347
Middle-ground,2350,22350,10,False,232,0,1,111.5,191.5,0,1129,816,141,40,132,1051,3,39,39,19,3,12,20,0,0,16,5,7,0,2,1,56.314,14.385,32.051,0.487,0.355
Middle-ground,2351,22351,10,False,1514,0,2,291.5,291.5,0,2915,802,669,30,1414,2345,10,48,48,23,6,16,25,0,0,19,4,6,0,2,5,50.75,17.427,43.958,0.25,0.353
Middle-ground,2352,22352,10,False,700,0,2,315,315,0,1865,820,405,40,600,1368,7,42,42,25,4,19,17,0,0,15,4,7,0,3,3.333,62.282,18.583,41.19,0.595,0.364
Middle-ground,2353,22353,10,False,941,0,2,273,273,0,2121,877,343,60,841,1423,6,48,47,23,5,14,24,1,0,18,6,9,0,3,2.667,50.339,15.936,39.149,0.542,0.401
Middle-ground,2354,22354,10,False,111,0,2,130,130,0,1177,871,265,30,11,1034,5,36,36,13,0,12,23,0,0,18,3,6,0,3,2.333,49.803,15.014,32.5,0.528,0.406
Traiter,2345,32345,10,False,405,0,2,311.5,311.5,1,1932,922,685,20,305,1983,10,51,49,26,4,20,23,2,0,15,3,5,0,2,4,58.821,17.918,35.306,1,0.724
Traiter,2346,32346,10,False,534,0,2,284.5,284.5,0,1625,726,405,60,434,1374,7,43,37,25,4,18,12,6,0,12,6,9,0,3,2.333,57.439,16.378,34.595,1,0.707
Traiter,2347,32347,10,False,658,0,2,186,247.5,0,1665,740,297,70,558,1362,6,49,47,22,6,11,25,2,0,15,7,10,0,3,2,50.322,14.277,33.617,1,0.74
Traiter,2348,32348,10,False,1086,0,2,296,296,0,2248,684,498,80,986,1515,8,58,46,23,5,15,23,12,0,13,8,11,0,3,2,57.803,16.587,36.304,1,0.727
Traiter,2349,32349,10,False,595,0,2,316,316,0,1788,766,467,60,495,1355,8,41,36,26,2,19,10,5,0,14,6,9,0,3,3,55.694,16.611,33.611,1,0.759
Traiter,2350,32350,10,False,1170,0,2,297.5,297.5,0,2316,749,437,60,1070,1577,8,51,46,25,6,16,21,5,0,17,7,9,0,2,2.5,54.542,17.489,41.522,1,0.75
Traiter,2351,32351,10,False,1356,0,2,327.5,327.5,0,2467,771,390,50,1256,1458,7,55,49,27,8,16,22,6,0,12,6,8,0,2,2.5,52.986,17.092,38.776,1,0.775
Traiter,2352,32352,3,True,0,27,1,0,20,0,192,319,0,0,-127,195,0,8,8,2,0,2,6,0,0,6,1,3,1,1,1,43.125,13.125,31.25,1,0.819
Traiter,2353,32353,10,False,1056,0,2,297.5,297.5,1,2019,676,297,90,956,1192,6,57,43,26,4,19,17,14,0,12,9,12,0,3,2,54.341,16.337,38.14,1,0.738
Traiter,2354,32354,10,False,240,0,2,161.5,261.5,0,1334,842,312,40,140,1606,6,44,44,26,5,18,18,0,0,18,5,7,0,2,2,58.191,15.864,32.045,1,0.666
Lazy,2345,42345,10,False,536,0,2,140,160,0,1166,670,0,60,436,967,0,37,37,16,1,11,21,0,0,13,5,9,1,3,1,47.804,13.784,34.595,0.459,0.218
Lazy,2346,42346,10,False,764,0,2,200,210,0,1613,929,0,20,664,1247,0,38,38,19,0,18,19,0,0,19,2,5,0,3,1,47.303,14.211,38.947,0.526,0.182
Lazy,2347,42347,10,False,730,0,2,170,170,0,1570,900,0,40,630,1487,0,44,44,16,0,16,28,0,0,20,4,7,0,3,1.333,45.554,13.193,39.091,0.5,0.259
Lazy,2348,42348,10,False,1059,0,2,240,240,0,1755,726,0,70,959,1147,0,40,40,22,1,18,18,0,0,15,7,10,0,3,1.333,49.775,14.175,36.25,0.525,0.136
Lazy,2349,42349,10,False,1828,0,2,320,320,0,2507,719,0,60,1728,1619,0,47,47,26,1,22,21,0,0,19,6,9,0,3,1.667,46.255,14.394,42.128,0.468,0.178
Lazy,2350,42350,10,False,749,0,2,180,180,0,1472,743,0,80,649,936,0,37,37,18,0,14,19,0,0,16,9,11,0,2,1.5,53.568,14.027,34.865,0.432,0.142
Lazy,2351,42351,10,False,526,0,2,160,170,0,1180,694,0,60,426,1103,0,33,33,16,1,12,17,0,0,12,6,9,0,3,1.333,48.761,13.5,35.455,0.394,0.161
Lazy,2352,42352,3,True,0,18,1,30,60,0,266,384,0,0,-118,330,0,10,10,6,0,6,4,0,0,7,0,3,0,3,1,63.75,13.5,25,0.7,0.045
Lazy,2353,42353,10,False,767,0,2,180,180,0,1532,825,0,40,667,1099,0,39,39,17,1,12,22,0,0,16,5,7,0,2,2,44.974,13.962,40,0.59,0.128
Lazy,2354,42354,10,False,666,0,2,200,200,0,1424,818,0,40,566,996,0,32,32,17,0,13,15,0,0,17,4,7,0,3,1,48.75,13.828,36.25,0.563,0.145
