profile,session,seed,daysPlayed,gameOver,finalGold,finalDebt,finalReputationRank,finalReputationPoints,trustStreak,totalIncome,totalUpkeep,totalLevelUpSpend,totalHiringSpend,totalSurplus,ordersGenerated,ordersSent,ordersCompleted,ordersFailed,ordersReferred,ordersDeclined,wounds,deaths,huntersHired,huntersDismissed,endingHunters,averageSuccessChance,averageKnownTraitRatio,averageCaseQuality
Middle-ground,2351,22351,10,False,394,0,1,10,0,1092,758,0,40,294,47,45,1,44,2,0,18,5,7,0,2,2.333,0.383,0.278
Middle-ground,2352,22352,3,True,0,27,1,0,0,152,279,0,0,-127,7,7,1,6,0,0,3,1,3,1,1,9.286,0.571,0.264
Middle-ground,2353,22353,3,True,0,13,1,0,0,178,291,0,0,-113,10,10,0,10,0,0,6,2,3,0,1,3,0.5,0.25
Middle-ground,2354,22354,10,False,317,0,1,0,0,1049,782,0,50,217,49,41,0,41,8,0,17,6,8,0,2,0.854,0.531,0.411
Traiter,2345,32345,10,False,264,0,1,10,0,1041,837,0,40,164,55,43,1,42,12,0,15,5,7,0,2,1.628,1,0.744
Traiter,2346,32346,10,False,0,0,1,0,0,111,217,0,0,-106,6,6,0,6,0,0,4,2,3,1,0,5,1,0.575
Traiter,2347,32347,6,True,0,31,1,0,0,365,496,0,0,-131,18,18,1,17,0,0,10,1,3,1,1,3.611,1,0.697
Traiter,2348,32348,10,False,167,0,1,20,0,934,837,0,30,67,52,36,4,32,16,0,16,2,6,1,3,7.5,1,0.757
Traiter,2349,32349,10,False,489,0,1,10,0,1228,769,0,70,389,58,45,1,44,13,0,15,7,10,0,3,3,1,0.736
Traiter,2350,32350,10,False,248,0,1,0,0,947,729,0,70,148,50,41,0,41,9,0,11,8,10,0,2,3.415,1,0.734
Traiter,2351,32351,10,False,297,0,1,20,0,1052,825,0,30,197,49,44,2,42,5,0,14,4,6,0,2,1.25,1,0.776
Traiter,2352,32352,3,True,0,46,1,0,0,173,319,0,0,-146,8,8,0,8,0,0,6,0,3,2,1,0,1,0.819
Traiter,2353,32353,10,False,413,0,1,40,0,1099,726,0,60,313,53,38,4,34,15,0,11,6,9,0,3,5.263,1,0.719
Traiter,2354,32354,10,False,442,0,1,0,0,1128,716,0,70,342,57,46,0,46,11,0,13,7,10,0,3,5.217,1,0.723
Lazy,2345,42345,3,True,0,45,1,0,0,171,316,0,0,-145,8,8,0,8,0,0,5,1,3,0,2,0,0.5,0.25
Lazy,2346,42346,3,True,0,1,1,0,0,252,353,0,0,-101,12,12,0,12,0,0,5,1,3,0,2,4.583,0.667,0.083
Lazy,2347,42347,10,False,323,0,1,30,0,1175,892,0,60,223,51,51,3,48,0,0,19,6,9,0,3,4.118,0.549,0.174
Lazy,2348,42348,10,False,275,0,1,30,0,933,658,0,100,175,41,41,3,38,0,0,10,11,13,0,2,3.537,0.488,0.135
Lazy,2349,42349,10,False,139,0,1,0,0,883,794,0,50,39,36,36,0,36,0,0,15,5,8,0,3,3.889,0.5,0.183
Lazy,2350,42350,10,False,104,0,1,20,0,874,830,0,40,4,37,37,2,35,0,0,13,5,7,0,2,3.919,0.405,0.199
Lazy,2351,42351,10,False,258,0,1,20,0,942,744,0,40,158,36,36,2,34,0,0,15,4,7,0,3,3.889,0.444,0.111
Lazy,2352,42352,10,False,122,0,1,0,0,877,815,0,40,22,45,45,1,44,0,0,22,4,7,1,2,3.778,0.689,0.124
Lazy,2353,42353,10,False,229,0,1,0,0,969,790,0,50,129,42,42,0,42,0,0,18,5,8,0,3,2.5,0.548,0.174
Lazy,2354,42354,3,True,0,77,1,0,0,164,341,0,0,-177,9,9,0,9,0,0,5,0,3,1,2,5.556,0.778,0.15
